instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1,1/1/2011,1,0,1,0,0,6,0,1,9.84,14.395,81,0,16
2,1/1/2011,1,0,1,1,0,6,0,1,9.02,13.635,80,0,40
3,1/1/2011,1,0,1,2,0,6,0,1,9.02,13.635,80,0,32
4,1/1/2011,1,0,1,3,0,6,0,1,9.84,14.395,75,0,13
5,1/1/2011,1,0,1,4,0,6,0,1,9.84,14.395,75,0,1
6,1/1/2011,1,0,1,5,0,6,0,2,9.84,12.88,75,6.0032,1
7,1/1/2011,1,0,1,6,0,6,0,1,9.02,13.635,80,0,2
8,1/1/2011,1,0,1,7,0,6,0,1,8.2,12.88,86,0,3
9,1/1/2011,1,0,1,8,0,6,0,1,9.84,14.395,75,0,8
10,1/1/2011,1,0,1,9,0,6,0,1,13.12,17.425,76,0,14
11,1/1/2011,1,0,1,10,0,6,0,1,15.58,19.695,76,16.9979,36
12,1/1/2011,1,0,1,11,0,6,0,1,14.76,16.665,81,19.0012,56
13,1/1/2011,1,0,1,12,0,6,0,1,17.22,21.21,77,19.0012,84
14,1/1/2011,1,0,1,13,0,6,0,2,18.86,22.725,72,19.9995,94
15,1/1/2011,1,0,1,14,0,6,0,2,18.86,22.725,72,19.0012,106
16,1/1/2011,1,0,1,15,0,6,0,2,18.04,21.97,77,19.9995,110
17,1/1/2011,1,0,1,16,0,6,0,2,17.22,21.21,82,19.9995,93
18,1/1/2011,1,0,1,17,0,6,0,2,18.04,21.97,82,19.0012,67
19,1/1/2011,1,0,1,18,0,6,0,3,17.22,21.21,88,16.9979,35
20,1/1/2011,1,0,1,19,0,6,0,3,17.22,21.21,88,16.9979,37
21,1/1/2011,1,0,1,20,0,6,0,2,16.4,20.455,87,16.9979,36
22,1/1/2011,1,0,1,21,0,6,0,2,16.4,20.455,87,12.998,34
23,1/1/2011,1,0,1,22,0,6,0,2,16.4,20.455,94,15.0013,28
24,1/1/2011,1,0,1,23,0,6,0,2,18.86,22.725,88,19.9995,39
25,1/2/2011,1,0,1,0,0,0,0,2,18.86,22.725,88,19.9995,17
26,1/2/2011,1,0,1,1,0,0,0,2,18.04,21.97,94,16.9979,17
27,1/2/2011,1,0,1,2,0,0,0,2,17.22,21.21,100,19.0012,9
28,1/2/2011,1,0,1,3,0,0,0,2,18.86,22.725,94,12.998,6
29,1/2/2011,1,0,1,4,0,0,0,2,18.86,22.725,94,12.998,3
30,1/2/2011,1,0,1,6,0,0,0,3,17.22,21.21,77,19.9995,2
31,1/2/2011,1,0,1,7,0,0,0,2,16.4,20.455,76,12.998,1
32,1/2/2011,1,0,1,8,0,0,0,3,16.4,20.455,71,15.0013,8
33,1/2/2011,1,0,1,9,0,0,0,2,15.58,19.695,76,15.0013,20
34,1/2/2011,1,0,1,10,0,0,0,2,14.76,17.425,81,15.0013,53
35,1/2/2011,1,0,1,11,0,0,0,2,14.76,16.665,71,16.9979,70
36,1/2/2011,1,0,1,12,0,0,0,2,14.76,16.665,66,19.9995,93
37,1/2/2011,1,0,1,13,0,0,0,2,14.76,17.425,66,8.9981,75
38,1/2/2011,1,0,1,14,0,0,0,3,14.76,17.425,76,12.998,59
39,1/2/2011,1,0,1,15,0,0,0,3,13.94,16.665,81,11.0014,74
40,1/2/2011,1,0,1,16,0,0,0,3,13.94,16.665,71,11.0014,76
41,1/2/2011,1,0,1,17,0,0,0,1,13.94,16.665,57,12.998,65
42,1/2/2011,1,0,1,18,0,0,0,2,14.76,16.665,46,22.0028,53
43,1/2/2011,1,0,1,19,0,0,0,1,13.12,14.395,42,30.0026,30
44,1/2/2011,1,0,1,20,0,0,0,1,12.3,13.635,39,23.9994,22
45,1/2/2011,1,0,1,21,0,0,0,1,10.66,11.365,44,22.0028,31
46,1/2/2011,1,0,1,22,0,0,0,1,9.84,10.605,44,19.9995,9
47,1/2/2011,1,0,1,23,0,0,0,1,9.02,11.365,47,11.0014,8
48,1/3/2011,1,0,1,0,0,1,1,1,9.02,9.85,44,23.9994,5
